Case ID;Activity;Resource;Start Timestamp;Complete Timestamp;Variant;Variant index;EstimatedRepairTime;RepairCode;RepairInternally;RepairOK;RepairType;contact;objectKey
1;FirstContact;Dian;1970/01/01 20:08:00.000;1970/01/01 20:08:00.000;Variant 2;2;;;;;;Phone;
1;MakeTicket;Dian;1970/01/01 20:08:00.000;1970/01/01 20:11:00.000;Variant 2;2;;;;;E;;1340
1;ArrangeSurvey;Dian;1970/01/01 20:11:00.000;1970/01/01 20:16:00.000;Variant 2;2;;;;;;;
1;InformClientSurvey;System;1970/01/01 20:16:00.000;1970/01/01 20:16:00.000;Variant 2;2;;;;;;;
1;Survey;Cindy;1970/01/11 09:33:00.000;1970/01/11 09:56:00.000;Variant 2;2;240;1;true;;;;
1;InternRepair;John;1970/01/16 16:36:00.000;1970/01/16 20:12:00.000;Variant 2;2;;;;;;;
1;RepairReady;System;1970/01/16 20:12:00.000;1970/01/16 20:12:00.000;Variant 2;2;;;;true;;;
1;SendTicketToFinAdmin;System;1970/01/17 02:03:00.000;1970/01/17 02:03:00.000;Variant 2;2;;;;;;;
1;ReadyInformClient;System;1970/01/17 03:44:00.000;1970/01/17 03:44:00.000;Variant 2;2;;;;true;;;
1;TicketReady;System;1970/01/17 03:44:00.000;1970/01/17 03:44:00.000;Variant 2;2;;;;;;;
10;FirstContact;Monica;1970/01/07 16:19:00.000;1970/01/07 16:19:00.000;Variant 3;3;;;;;;Letter;
10;MakeTicket;Monica;1970/01/07 16:19:00.000;1970/01/07 16:25:00.000;Variant 3;3;;;;;P;;5629
10;ArrangeSurvey;Dian;1970/01/07 16:25:00.000;1970/01/08 08:45:00.000;Variant 3;3;;;;;;;
10;InformClientSurvey;System;1970/01/08 08:45:00.000;1970/01/08 08:45:00.000;Variant 3;3;;;;;;;
10;Survey;Jacky;1970/01/10 16:14:00.000;1970/01/10 17:09:00.000;Variant 3;3;120;1;true;;;;
10;ImmediateRepair;Jacky;1970/01/10 17:09:00.000;1970/01/10 19:09:00.000;Variant 3;3;;;;;;;
10;RepairReady;System;1970/01/10 19:09:00.000;1970/01/10 19:09:00.000;Variant 3;3;;;;true;;;
10;SendTicketToFinAdmin;System;1970/01/10 22:46:00.000;1970/01/10 22:46:00.000;Variant 3;3;;;;;;;
10;ReadyInformClient;System;1970/01/10 22:53:00.000;1970/01/10 22:53:00.000;Variant 3;3;;;;true;;;
10;TicketReady;System;1970/01/10 22:53:00.000;1970/01/10 22:53:00.000;Variant 3;3;;;;;;;
100;FirstContact;Monica;1970/01/01 11:11:00.000;1970/01/01 11:11:00.000;Variant 6;6;;;;;;Phone;
100;MakeTicket;Monica;1970/01/01 11:11:00.000;1970/01/01 11:16:00.000;Variant 6;6;;;;;B;;4991
100;ArrangeSurvey;Monica;1970/01/01 11:16:00.000;1970/01/01 11:21:00.000;Variant 6;6;;;;;;;
100;InformClientSurvey;System;1970/01/01 11:21:00.000;1970/01/01 11:21:00.000;Variant 6;6;;;;;;;
100;Survey;Eric;1970/01/01 11:21:00.000;1970/01/01 11:43:00.000;Variant 6;6;480;4;false;;;;
100;ExternRepair;FixIt;1970/01/01 11:43:00.000;1970/01/01 11:43:00.000;Variant 6;6;;;;;;;
100;RepairReady;System;1970/01/01 20:31:00.000;1970/01/01 20:31:00.000;Variant 6;6;;;;true;;;
100;SendTicketToFinAdmin;System;1970/01/01 23:39:00.000;1970/01/01 23:39:00.000;Variant 6;6;;;;;;;
100;ReadyInformClient;System;1970/01/02 02:36:00.000;1970/01/02 02:36:00.000;Variant 6;6;;;;true;;;
100;TicketReady;System;1970/01/02 02:36:00.000;1970/01/02 02:36:00.000;Variant 6;6;;;;;;;
1000;FirstContact;Monica;1970/01/07 08:17:00.000;1970/01/07 08:17:00.000;Variant 2;2;;;;;;Web;
1000;MakeTicket;Monica;1970/01/07 08:17:00.000;1970/01/07 08:21:00.000;Variant 2;2;;;;;E;;9876
1000;ArrangeSurvey;Dian;1970/01/07 08:21:00.000;1970/01/07 13:24:00.000;Variant 2;2;;;;;;;
1000;InformClientSurvey;System;1970/01/07 13:24:00.000;1970/01/07 13:24:00.000;Variant 2;2;;;;;;;
1000;Survey;Cindy;1970/01/16 02:35:00.000;1970/01/16 02:58:00.000;Variant 2;2;240;1;true;;;;
1000;InternRepair;John;1970/01/19 02:34:00.000;1970/01/19 06:34:00.000;Variant 2;2;;;;;;;
1000;RepairReady;System;1970/01/19 06:34:00.000;1970/01/19 06:34:00.000;Variant 2;2;;;;true;;;
1000;SendTicketToFinAdmin;System;1970/01/19 13:11:00.000;1970/01/19 13:11:00.000;Variant 2;2;;;;;;;
1000;ReadyInformClient;System;1970/01/19 14:25:00.000;1970/01/19 14:25:00.000;Variant 2;2;;;;true;;;
1000;TicketReady;System;1970/01/19 14:25:00.000;1970/01/19 14:25:00.000;Variant 2;2;;;;;;;
101;FirstContact;Dian;1970/01/03 03:45:00.000;1970/01/03 03:45:00.000;Variant 2;2;;;;;;Letter;
