Case ID;Activity;Resource;Start Timestamp;Complete Timestamp;Variant;Variant index;defectFixed;defectType;numberRepairs;phoneType
1;Register;System;1970/01/02 08:23:00.000;1970/01/02 08:23:00.000;Variant 2;2;;;;
1;Analyze Defect;Tester3;1970/01/02 08:23:00.000;1970/01/02 08:30:00.000;Variant 2;2;;6;;T2
1;Repair (Complex);SolverC1;1970/01/02 08:31:00.000;1970/01/02 08:49:00.000;Variant 2;2;;;;
1;Test Repair;Tester3;1970/01/02 08:49:00.000;1970/01/02 08:55:00.000;Variant 2;2;true;;0;
1;Inform User;System;1970/01/02 09:10:00.000;1970/01/02 09:10:00.000;Variant 2;2;;;;
1;Archive Repair;System;1970/01/02 09:10:00.000;1970/01/02 09:10:00.000;Variant 2;2;true;;0;
10;Register;System;1970/01/01 07:09:00.000;1970/01/01 07:09:00.000;Variant 8;8;;;;
10;Analyze Defect;Tester2;1970/01/01 07:09:00.000;1970/01/01 07:15:00.000;Variant 8;8;;3;;T1
10;Repair (Simple);SolverS1;1970/01/01 07:35:00.000;1970/01/01 07:42:00.000;Variant 8;8;;;;
10;Test Repair;Tester6;1970/01/01 07:42:00.000;1970/01/01 07:48:00.000;Variant 8;8;false;;1;
10;Restart Repair;System;1970/01/01 07:54:00.000;1970/01/01 07:54:00.000;Variant 8;8;;;;
10;Repair (Simple);SolverS2;1970/01/01 07:54:00.000;1970/01/01 08:03:00.000;Variant 8;8;;;;
10;Inform User;System;1970/01/01 07:55:00.000;1970/01/01 07:55:00.000;Variant 8;8;;;;
10;Test Repair;Tester4;1970/01/01 08:03:00.000;1970/01/01 08:09:00.000;Variant 8;8;true;;2;
10;Archive Repair;System;1970/01/01 08:14:00.000;1970/01/01 08:14:00.000;Variant 8;8;true;;2;
100;Register;System;1970/01/03 22:28:00.000;1970/01/03 22:28:00.000;Variant 2;2;;;;
100;Analyze Defect;Tester4;1970/01/03 22:28:00.000;1970/01/03 22:36:00.000;Variant 2;2;;8;;T2
100;Repair (Complex);SolverC1;1970/01/03 22:52:00.000;1970/01/03 23:09:00.000;Variant 2;2;;;;
100;Test Repair;Tester1;1970/01/03 23:09:00.000;1970/01/03 23:18:00.000;Variant 2;2;true;;0;
100;Inform User;System;1970/01/03 23:20:00.000;1970/01/03 23:20:00.000;Variant 2;2;;;;
100;Archive Repair;System;1970/01/03 23:28:00.000;1970/01/03 23:28:00.000;Variant 2;2;true;;0;
1000;Register;System;1970/01/22 02:23:00.000;1970/01/22 02:23:00.000;Variant 3;3;;;;
1000;Analyze Defect;Tester6;1970/01/22 02:23:00.000;1970/01/22 02:28:00.000;Variant 3;3;;3;;T3
1000;Repair (Simple);SolverS3;1970/01/22 02:35:00.000;1970/01/22 02:49:00.000;Variant 3;3;;;;
1000;Test Repair;Tester6;1970/01/22 02:49:00.000;1970/01/22 02:58:00.000;Variant 3;3;true;;1;
1000;Inform User;System;1970/01/22 03:03:00.000;1970/01/22 03:03:00.000;Variant 3;3;;;;
1000;Archive Repair;System;1970/01/22 03:08:00.000;1970/01/22 03:08:00.000;Variant 3;3;true;;1;
1001;Register;System;1970/01/22 03:51:00.000;1970/01/22 03:51:00.000;Variant 10;10;;;;
1001;Analyze Defect;Tester3;1970/01/22 03:51:00.000;1970/01/22 03:56:00.000;Variant 10;10;;8;;T1
1001;Repair (Complex);SolverC3;1970/01/22 04:06:00.000;1970/01/22 04:54:00.000;Variant 10;10;;;;
1001;Inform User;System;1970/01/22 04:35:00.000;1970/01/22 04:35:00.000;Variant 10;10;;;;
1001;Test Repair;Tester5;1970/01/22 04:54:00.000;1970/01/22 05:00:00.000;Variant 10;10;true;;0;
1002;Register;System;1970/01/22 17:40:00.000;1970/01/22 17:40:00.000;Variant 21;21;;;;
1002;Analyze Defect;Tester2;1970/01/22 17:40:00.000;1970/01/22 17:50:00.000;Variant 21;21;;3;;T3
1002;Repair (Simple);SolverS3;1970/01/22 18:12:00.000;1970/01/22 18:32:00.000;Variant 21;21;;;;
1002;Inform User;System;1970/01/22 18:26:00.000;1970/01/22 18:26:00.000;Variant 21;21;;;;
1002;Test Repair;Tester4;1970/01/22 18:32:00.000;1970/01/22 18:40:00.000;Variant 21;21;true;;1;
1003;Register;System;1970/01/22 02:43:00.000;1970/01/22 02:43:00.000;Variant 35;35;;;;
1003;Analyze Defect;Tester5;1970/01/22 02:43:00.000;1970/01/22 02:49:00.000;Variant 35;35;;1;;T3
1003;Repair (Simple);SolverS1;1970/01/22 03:08:00.000;1970/01/22 03:14:00.000;Variant 35;35;;;;
1003;Test Repair;Tester6;1970/01/22 03:14:00.000;1970/01/22 03:20:00.000;Variant 35;35;false;;1;
1003;Inform User;System;1970/01/22 03:19:00.000;1970/01/22 03:19:00.000;Variant 35;35;;;;
1003;Restart Repair;System;1970/01/22 03:27:00.000;1970/01/22 03:27:00.000;Variant 35;35;;;;
1003;Repair (Simple);SolverS3;1970/01/22 03:27:00.000;1970/01/22 03:41:00.000;Variant 35;35;;;;
1003;Test Repair;Tester6;1970/01/22 03:41:00.000;1970/01/22 03:51:00.000;Variant 35;35;true;;2;
1004;Register;System;1970/01/22 06:27:00.000;1970/01/22 06:27:00.000;Variant 12;12;;;;
1004;Analyze Defect;Tester1;1970/01/22 06:27:00.000;1970/01/22 06:34:00.000;Variant 12;12;;1;;T1
