IBOV,,,PETR4,,,VALE3,,,DOLAR,
Date,Close,,Date,Close,,Date,Close,,Date,Close
24/07/2017 16:56:00,"65099,55",,24/07/2017 16:56:00,"12,88",,24/07/2017 16:56:00,"29,13",,23/07/2017 23:58:00,"3,1777"
25/07/2017 16:56:00,"65667,63",,25/07/2017 16:56:00,"13,22",,25/07/2017 16:56:00,"30,61",,24/07/2017 23:58:00,"3,1444"
26/07/2017 16:56:00,"65010,57",,26/07/2017 16:56:00,"13,06",,26/07/2017 16:56:00,"29,66",,25/07/2017 23:58:00,"3,1712"
27/07/2017 16:56:00,"65277,38",,27/07/2017 16:56:00,13,,27/07/2017 16:56:00,"29,7",,26/07/2017 23:58:00,"3,1375"
28/07/2017 16:56:00,"65497,13",,28/07/2017 16:56:00,"13,13",,28/07/2017 16:56:00,"30,34",,27/07/2017 23:58:00,"3,1526"
31/07/2017 16:56:00,"65920,36",,31/07/2017 16:56:00,"13,29",,31/07/2017 16:56:00,"31,3",,28/07/2017 23:58:00,"3,1269"
01/08/2017 16:56:00,"66516,24",,01/08/2017 16:56:00,"13,12",,01/08/2017 16:56:00,"31,06",,29/07/2017 23:58:00,"3,1311"
02/08/2017 16:56:00,"67135,99",,02/08/2017 16:56:00,"13,51",,02/08/2017 16:56:00,"31,11",,30/07/2017 23:58:00,"3,1777"
03/08/2017 16:56:00,"66777,13",,03/08/2017 16:56:00,"13,31",,03/08/2017 16:56:00,"30,68",,31/07/2017 23:58:00,"3,1258"
04/08/2017 16:56:00,"66897,99",,04/08/2017 16:56:00,"13,4",,04/08/2017 16:56:00,"31,23",,01/08/2017 23:58:00,"3,1228"
07/08/2017 16:56:00,"67939,66",,07/08/2017 16:56:00,"13,55",,07/08/2017 16:56:00,"32,42",,02/08/2017 23:58:00,"3,1122"
08/08/2017 16:56:00,"67898,94",,08/08/2017 16:56:00,"13,49",,08/08/2017 16:56:00,"32,05",,03/08/2017 23:58:00,"3,1115"
09/08/2017 16:56:00,"67671,07",,09/08/2017 16:56:00,"13,52",,09/08/2017 16:56:00,"31,92",,04/08/2017 23:58:00,"3,1175"
10/08/2017 16:56:00,"66992,09",,10/08/2017 16:56:00,"13,19",,10/08/2017 16:56:00,"31,5",,06/08/2017 23:58:00,"3,1293"
11/08/2017 16:56:00,"67358,59",,11/08/2017 16:56:00,"12,95",,11/08/2017 16:56:00,"30,8",,07/08/2017 23:58:00,"3,1242"
14/08/2017 16:56:00,"68284,66",,14/08/2017 16:56:00,"13,08",,14/08/2017 16:56:00,"31,3",,08/08/2017 23:58:00,"3,1259"
15/08/2017 16:56:00,"68355,12",,15/08/2017 16:56:00,"13,15",,15/08/2017 16:56:00,"31,12",,09/08/2017 23:58:00,"3,1523"
16/08/2017 16:56:00,"68594,29",,16/08/2017 16:56:00,"13,13",,16/08/2017 16:56:00,"31,73",,10/08/2017 23:58:00,"3,1736"
17/08/2017 16:56:00,"67976,8",,17/08/2017 16:56:00,"13,05",,17/08/2017 16:56:00,"31,2",,11/08/2017 23:58:00,"3,1888"
18/08/2017 16:56:00,"68714,66",,18/08/2017 16:56:00,"13,6",,18/08/2017 16:56:00,"31,55",,12/08/2017 23:58:00,"3,191"
21/08/2017 16:56:00,"68634,65",,21/08/2017 16:56:00,"13,34",,21/08/2017 16:56:00,"31,75",,13/08/2017 23:58:00,"3,1777"
22/08/2017 16:56:00,"70011,25",,22/08/2017 16:56:00,"13,79",,22/08/2017 16:56:00,"31,86",,14/08/2017 23:58:00,"3,1872"
23/08/2017 16:56:00,"70477,63",,23/08/2017 16:56:00,"13,76",,23/08/2017 16:56:00,"32,54",,15/08/2017 23:58:00,"3,1676"
24/08/2017 16:56:00,"71132,8",,24/08/2017 16:56:00,"13,8",,24/08/2017 16:56:00,"33,88",,16/08/2017 23:58:00,"3,1514"
25/08/2017 16:56:00,"71073,65",,25/08/2017 16:56:00,"13,88",,25/08/2017 16:56:00,"33,83",,17/08/2017 23:58:00,"3,1733"
28/08/2017 16:56:00,"71016,59",,28/08/2017 16:56:00,"13,87",,28/08/2017 16:56:00,"34,36",,18/08/2017 23:58:00,"3,1414"
29/08/2017 16:56:00,"71329,85",,29/08/2017 16:56:00,"13,85",,29/08/2017 16:56:00,"34,44",,19/08/2017 23:58:00,"3,1453"
30/08/2017 16:56:00,"70886,26",,30/08/2017 16:56:00,"13,45",,30/08/2017 16:56:00,"34,34",,20/08/2017 23:58:00,"3,1777"
31/08/2017 16:56:00,"70835,05",,31/08/2017 16:56:00,"13,65",,31/08/2017 16:56:00,"35,08",,21/08/2017 23:58:00,"3,163"
01/09/2017 16:56:00,"71923,11",,01/09/2017 16:56:00,"14,02",,01/09/2017 16:56:00,"35,67",,22/08/2017 23:58:00,"3,1605"
04/09/2017 16:56:00,"72128,83",,04/09/2017 16:56:00,"14,17",,04/09/2017 16:56:00,"36,1",,23/08/2017 23:58:00,"3,1393"
05/09/2017 16:56:00,"72150,88",,05/09/2017 16:56:00,"14,41",,05/09/2017 16:56:00,"35,6",,24/08/2017 23:58:00,"3,1465"
06/09/2017 16:56:00,"73412,41",,06/09/2017 16:56:00,"15,02",,06/09/2017 16:56:00,"35,8",,25/08/2017 23:58:00,"3,1561"
